year,state,Arbitration Main and Misc,Bail Application,Civil Appeal,Civil Revision,Civil Suit,Cooperative Appeal Cases Main,Cooperative Appeal Cases Misc.,Cooperative Court Cases Main,Cooperative Court Cases Misc.,Criminal Appeal,Criminal Revision,Election Petition,Execution Petition,Industrial Court Main Cases,Industrial Court Misc. Cases,Juvenile Cases,Labour Court Main Cases,Labour Court Misc. Cases,Land Reference,MACP,Marriage Petition,Misc. Civil Appeal,Misc. Civil Application,Misc. Civil Cases,Misc. Criminal Applications,Misc. Execution,Other Tribunals,Pre-litigation,Pre-trial,Sessions Case,Warrant or Summons Criminal Cases
2016,West Bengal,2.5051546,1.0367486,3.4320083,3.2611113,4.8515863,0,0,0,0,1.7152319,1.4908496,0,3.2789881,0,0,6.40625,3,2.5,6.2676473,3.9959452,1.7701458,3.1077917,2.7865853,2.7886887,1.5081592,3.1012223,1.7894738,0,0,3.2175598,3.561851
2017,Andaman and Nicobar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,Andhra Pradesh,2.6327503,1.0115615,5.0576315,0,3.3469481,0,0,0,0,2.2162602,1.507177,0,2.4883633,2.6845071,19.608334,1.7842536,0,0,7.8333335,3.0633767,1.6341373,3.2467532,5.3846154,2.498306,2.2068532,0,0,0,0,2.4963565,2.2354081
2017,Assam,2.8166666,1.0010898,3.0016313,0,3.1978984,0,0,0,0,1.8176856,1.5065694,4.3333335,3.2889345,3,0,0,1.6296296,1.4564103,3.4301074,3.0474162,1.6756097,2.3723958,1.6280559,1.6136866,1.3944386,1.5384616,1.3333334,0,0,2.4253232,1.8481305
2017,Bihar,1,1.0125728,8.1570005,9,5.3549252,0,0,0,0,5.3901677,2.1620595,2.5607476,5.4930553,0,0,3.8928571,0,0,7.2356243,4.3837891,2.716892,4.0338707,2.8275356,3.3798771,1.50871,9.0143538,0,0,0,6.2971354,4.8560791
2017,Chandigarh,1.2944915,1.0028621,2.0424657,0,2.9152544,0,0,0,0,1.6496816,1.4930748,0,1.8444803,0,0,1.6242424,0,0,1,1.5537038,1.3354633,1.7107438,1.6399474,1.3496003,1.8589818,0,0,0,0,1.6035503,1.934159
2017,Chhattisgarh,1.590909,1,3.610234,0,5.057991,0,0,0,0,1.9485196,1.4486607,2.5,6.9675946,0,0,4.1696844,0,0,10.000001,2.4890895,1.5597938,2.8869309,2.4736843,3.25141,1.7271155,2.6467991,0,0,0,2.4209704,3.0281639
2017,DNH at Silvasa,0,0,1,0,4.557971,0,0,0,0,2,1.0416666,2,2.1785715,2.8571429,2,3.7272727,5.1333332,0,0,2.4705884,1.6470588,1.5,1.2857144,1.1666666,1.3205742,0,0,0,0,2.2820513,6.3346939
2017,Delhi,1.0788976,1.0005878,1.8667122,0,2.3199387,0,0,0,0,1.331687,1.1901007,1,1.8359216,2.8258426,0,0,2.693892,2.4790576,4.1199999,2.1248353,1.2941967,1.7944515,1.0495868,1.7470641,1.2111996,1.8547009,2,0,0,2.393203,2.310427
2017,Diu and Daman,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,Goa,6.7199998,1,4.0032468,2.7352941,4.4675016,0,0,0,0,4.6363635,4.375,6,6.6498194,0,0,0,10.545455,0,12.607143,3.1320755,3.5129533,4.916667,4.5919285,5.4481707,3.15625,6.8333335,0,0,0,6.9444447,3.557971
2017,Gujarat,0,1.0663344,8.0113583,4.3870969,5.9186449,0,0,0,0,2.5070951,1.5460835,2.4857142,4.7165885,5.0810127,4.1007051,3.9167216,5.8913097,1.8448275,11.567212,9.3623676,2.1307995,5.1048741,2.0788033,2.7350626,1.9251153,5.4124265,0,0,0,2.909574,4.3046374
2017,Haryana,1.8740259,1.0006067,2.5446057,4.1111112,2.4525163,0,0,0,0,2.0802476,1.5849301,2.0116959,2.1724937,0,0,1.4447469,0,0,3.109988,1.8275971,1.4922131,1.8414458,1.4917461,2.1244195,1.7453721,2.9166667,0,0,0,1.46573,1.5650824
2017,Himachal Pradesh,4.3888888,1.0018891,2.3708456,5.1111112,3.302753,0,0,0,0,2.7102511,2.1655011,4.043478,2.5664201,0,0,1.5971944,0,0,5.5466237,2.757622,1.6875,1.9104135,1.5571884,1.767101,1.3627144,1,0,0,0,2.9877427,1.9126883
2017,Jammu and Kashmir,2.1730769,1.0244864,2.1816444,1.75,3.0680075,0,0,0,0,1.7542373,1.4672728,3,2.2922077,0,0,0,0,0,4.5306125,3.413305,1.7761438,2.3333333,2.3010204,1.6709402,1.2570155,1.2,0,0,0,5.6070147,3.4448471
2017,Jharkhand,2.2068965,1.0044434,4.9117413,0,5.3755498,0,0,0,0,2.9335382,1.5179713,4,3.9961026,6.7142859,0,0,5.21875,0,7.4718099,3.9284832,1.7613978,3.430723,3.4311662,3.1703176,1.3333833,4.2857146,0,0,0,4.7138891,2.9189374
2017,Karnataka,2.3923724,1.1868148,3.2852583,2.1628959,3.4010813,0,0,0,0,1.6889449,1.3087426,2.0532544,3.0704544,2.9289739,2.539326,2.4375,1.1732284,2.695652,4.1610718,1.8996835,1.8006799,2.2351222,2.3123007,2.1459892,1.156746,4.3788605,0,0,0,2.5384295,1.595498
2017,Kerala,1.8078932,1.0099833,3.5229621,2.9764707,2.4823093,0,0,0,0,2.7996571,1.8633879,2.4731183,2.0787225,0,0,1.511811,0,0,3.6543674,3.0873129,1.3108536,1.9867665,1.4218305,1.3271217,1.4788333,3.9484828,0,0,0,3.4963639,2.1388729
2017,Madhya Pradesh,2.184375,1.0010822,2.7477236,0,3.1611743,0,0,0,0,1.9801461,1.4698447,3.054054,4.042697,0,0,0,0,0,0,2.2364423,1.5657173,1.9675914,0,2.5262775,2.7133803,0,0,0,0,3.04582,2.1217775
2017,Maharashtra,1.698324,1.0045862,5.3239155,4.0496454,4.1756258,0,0,0,0,3.7047873,2.4561727,4.0943398,4.3147688,3.3020554,2.3714623,2.5876241,3.8372393,2.3698847,5.5582566,4.4687572,1.7842298,3.1798978,2.0226758,2.2993267,1.7126404,3.5092592,0,0,0,3.8805408,3.0041726
2017,Manipur,5.3333335,1.0207007,1.7413793,3.5543478,2.5782495,0,0,0,0,1.2083333,1.1521739,4.6666665,2.0726256,0,0,0,0,0,6.5714288,4.2173915,1.3951435,1.2653061,1.3744856,1.4580032,1.8746518,0,0,0,0,5.4503312,1.5435872
2017,Meghalaya,15.166667,1,2.25,2,7.8967137,0,0,0,0,1,1,0,11.510638,0,0,1.5999999,0,0,11,3.909091,1.5,1.7692308,1.0808949,1.3767705,1.8163934,0,5.5,0,0,5.4285717,2.396884
2017,Mizoram,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,Orissa,3.5267859,1.0099263,4.3395252,2.7015095,4.6226311,0,0,0,0,3.0123839,1.9628797,2.0103447,7.2543011,3.8326995,0,1.8527375,0,0,4.7791848,4.1205244,2.3880596,3.2732811,2.7652471,3.0211582,4.5076184,10.204924,3.75,0,0,2.7629228,5.1698976
2017,Punjab,1.4421587,1.0087219,2.2067251,4,2.8360555,0,0,0,0,1.8522923,1.3833362,3.9166667,2.4784427,0,0,1.4713984,0,0,2.7751825,1.891892,1.3323396,1.7703081,1.816395,2.2157049,1.5620281,2.7864077,0,0,0,2.270529,1.5054754
2017,Rajasthan,2.1498406,2.9039812,4.7677016,3.3333333,4.8487906,5.7102804,2.3111112,0,5.2276421,2.0783234,1.6649828,2.6442785,4.0402021,10.292418,20.285715,1.8615385,8.2989101,11.913628,13.23622,3.5674787,1.630048,2.8762448,3.163661,2.506191,1.7399068,5.0379748,2.431613,0,0,3.3044348,3.0156887
2017,Sikkim,1,1.002681,1.3333334,0,1.2195379,0,0,0,0,1.1612903,1,0,1.4247788,0,0,1.0196079,0,0,0,1.4285715,0,1,2,1.0259259,1.0178118,0,1.3225806,0,0,1.672811,1.5232877
2017,Tamil Nadu,2.5657492,0,3.5439856,1.3448277,3.6520028,0,0,0,0,2.2805407,1.6970317,6,3.1143787,6.0379596,0,1.0786517,0,0,8.8590164,2.6785259,1.934804,4.3195877,2.0404844,2.9953165,1.0631138,0,0,0,0,2.4820244,2.420836
2017,Telangana,2.7046263,1.0037166,4.1908846,0,4.2444377,0,0,0,0,2.230727,1.2977941,3,3.0880675,2.5,1.25,1.6282998,0,0,7.1775699,3.012948,1.7293917,2.8992248,9,3.0610192,1.8509479,0,0,0,0,3.0583019,3.3357418
2017,Tripura,3.3636365,1,2.2727273,2.3333335,2.961869,0,0,0,0,1.5105263,1.0566038,0,3.5577557,0,0,1.8571429,2.090909,0,4.3732719,0,1.3000001,1.9268293,1.6277496,1.7656566,1.6236203,3.2608695,0,0,0,3.1664355,3.0517859
2017,Uttar Pradesh,3.9488244,1.0036283,4.5563111,2.5865593,5.2073889,0,0,0,0,3.0928948,1.9239103,3.8131869,4.9315886,4.9126987,4.0526314,4.3030305,0,5.375,14.639322,2.6048865,2.1785512,3.4859278,2.8222876,2.8876414,1.7151349,5.5500002,0,0,0,4.3335581,2.4724529
2017,Uttarakhand,4.4000001,1,2.5281045,1.6179516,3.3140955,0,0,0,0,2.1680913,1.5311159,2.5714285,2.4581861,0,0,1.1666666,2.3333335,0,4.4615388,2.1211476,1.8967446,2.0512822,1.6955209,1.7150236,3.9403982,2.9484537,0,0,0,2.5527158,1.8647902
2017,West Bengal,1.1283423,1.0186971,4.0794559,3.8408306,6.3804092,0,0,0,0,2.0365965,1.7796696,13,4.8202314,0,0,7.9365082,4.4285717,5.0833335,8.1469936,4.970922,2.0751822,3.6074798,4.5866389,3.5515718,1.784797,3.1204686,4.3037972,0,0,3.122813,3.1579335
2018,Andaman and Nicobar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Andhra Pradesh,3.1451831,1.0012764,4.4674664,0,3.2955978,0,0,0,0,2.1896482,1.555336,0,2.2601981,3.5589745,4.4130435,1.3449092,0,0,6.4581003,2.8858838,1.5936208,3.1275001,3.2644627,2.552007,2.1333895,0,0,0,0,2.7927825,1.9714531
2018,Assam,3.2409639,1.0004988,2.9990494,0,3.0235367,0,0,0,0,2.1625321,1.6403027,5.7142859,3.5857687,1,0,1.4375,1,1.4115309,4.0277777,2.9123716,1.879562,2.0282609,1.524882,1.7210906,1.2943925,2.7333336,3.5,0,0,2.5985243,2.12396
2018,Bihar,2,1.0114278,8.2435017,4.75,6.2102156,0,0,0,0,7.0126486,2.2569778,3.1974523,6.3008876,0,0,4.3008852,0,0,10.494369,5.0943604,2.5354478,4.7973142,2.8372359,3.3891325,1.8220595,9.6038342,0,0,0,6.3997278,5.6254015
2018,Chandigarh,1.2621599,1,2.4848485,0,2.9573171,0,0,0,0,1.8380743,1.3824452,0,2.1551521,0,0,1.235023,0,0,11.75,1.877408,1.4128828,1.7142857,1.7387388,1.4409595,1.7206764,0,0,0,0,1.6164383,1.7405649
2018,Chhattisgarh,1.7272727,1.0001843,2.7309754,0,5.2846017,0,0,0,0,1.8721704,1.3106445,2.8333333,4.9910073,0,0,2.7814052,0,0,4.166667,2.2365682,1.6302611,2.3445256,1.8000001,2.8084953,1.8419409,2.5110064,0,0,0,2.5003612,2.8696375
2018,DNH at Silvasa,0,0,1.5,0,4.1413794,0,0,0,0,1.8000001,1.1,7,3.6538463,5,0,2.8235295,5.291667,0,0,2.5869565,1.5,1,2.090909,2,1.2314607,0,0,0,0,3.0689657,5.0182371
2018,Delhi,1.0474089,1.0015818,2.18381,1,2.5388525,0,0,0,0,1.3370892,1.2403567,1.6666667,1.8497399,3.1221871,0,0,2.7,2.3968871,4.0454545,2.3563786,1.314384,1.8832732,1.1002785,1.7160294,1.1922095,1.8447807,3.2564104,0,0,2.1978354,2.2365289
2018,Diu and Daman,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,1,0,0,0,0,0,0
2018,Goa,7.25,1,6.3571429,5,6.534749,0,0,0,0,4.5,7,4,5.8854165,0,0,0,5.3939395,0,14.954546,3.9850748,4.7452831,5.6923079,5.7678571,6.1270719,4.1285715,7.5,0,0,0,6.375,4.5979533
