,StateName,stateabb,ST_CODE,PC_CODE,bigstate,PCNAME,pc_name_n,m_electors,f_electors,t_electors,m_voters,f_voters,t_voters,year,representation
61,Bihar,BH,S04,3,1.0,Purvi Champaran,Purba Champaran,779657.0,659560.0,1439253.0,442071.0,380577.0,822648.0,2014.0,1.0
62,Bihar,BH,S04,4,1.0,Sheohar,Sheohar,792374.0,693355.0,1485801.0,433327.0,409336.0,842663.0,2014.0,1.0
63,Bihar,BH,S04,5,1.0,Sitamarhi,Sitamarhi,832370.0,742498.0,1574914.0,448849.0,451628.0,900477.0,2014.0,0.0
64,Bihar,BH,S04,6,1.0,Madhubani,Madhubani,878017.0,749809.0,1627832.0,413708.0,446640.0,860348.0,2014.0,0.0
65,Bihar,BH,S04,7,1.0,Jhanjharpur,Jhanjharpur,895570.0,772835.0,1668405.0,450499.0,490640.0,941139.0,2014.0,0.0
66,Bihar,BH,S04,8,1.0,Supaul,Supaul,797373.0,728185.0,1525583.0,468476.0,502044.0,970520.0,2014.0,1.0
67,Bihar,BH,S04,9,1.0,Araria,Araria,843076.0,744212.0,1587332.0,492513.0,483291.0,975804.0,2014.0,0.0
68,Bihar,BH,S04,10,1.0,Kishanganj,Kishanganj,762874.0,676103.0,1438990.0,471096.0,457126.0,928222.0,2014.0,1.0
69,Bihar,BH,S04,11,1.0,Katihar,Katihar,769044.0,677392.0,1446478.0,495600.0,481934.0,977534.0,2014.0,1.0
70,Bihar,BH,S04,12,1.0,Purnia,Purnia,826834.0,755758.0,1582626.0,511262.0,506106.0,1017368.0,2014.0,0.0
71,Bihar,BH,S04,13,1.0,Madhepura,Madhepura,899152.0,826507.0,1725693.0,508782.0,525869.0,1034651.0,2014.0,0.0
72,Bihar,BH,S04,14,1.0,Darbhanga,Darbhanga,797254.0,698177.0,1495445.0,407516.0,421741.0,829257.0,2014.0,1.0
73,Bihar,BH,S04,15,1.0,Muzaffarpur,Muzaffarpur,830943.0,720390.0,1551363.0,490949.0,457916.0,948865.0,2014.0,0.0
74,Bihar,BH,S04,16,1.0,Vaishali,Vaishali,841773.0,724500.0,1566321.0,480759.0,445167.0,925926.0,2014.0,0.0
75,Bihar,BH,S04,17,1.0,Gopalganj (SC),Gopalganj,871590.0,783212.0,1654838.0,444922.0,458639.0,903561.0,2014.0,0.0
76,Bihar,BH,S04,18,1.0,Siwan,Siwan,841735.0,722100.0,1563860.0,443827.0,440178.0,884005.0,2014.0,0.0
77,Bihar,BH,S04,19,1.0,Maharajganj,Maharajganj,874822.0,767218.0,1642068.0,420232.0,426095.0,846327.0,2014.0,0.0
78,Bihar,BH,S04,20,1.0,Saran,Saran (Chhapra),832441.0,706266.0,1538740.0,450511.0,411954.0,862465.0,2014.0,0.0
79,Bihar,BH,S04,21,1.0,Hajipur (SC),Hajipur,895047.0,754452.0,1649547.0,478157.0,425876.0,904033.0,2014.0,0.0
80,Bihar,BH,S04,22,1.0,Ujiarpur,Ujiapur,764186.0,662004.0,1426217.0,433858.0,425047.0,858905.0,2014.0,1.0
81,Bihar,BH,S04,23,1.0,Samastipur (SC),Samastipur,802420.0,702007.0,1504451.0,430782.0,432401.0,863183.0,2014.0,1.0
82,Bihar,BH,S04,24,1.0,Begusarai,Begusarai,949825.0,828874.0,1778759.0,545214.0,532151.0,1077365.0,2014.0,0.0
